id,AcceptedAnswerId,perguntas,respostas,idResp
"402","408","<p>Diversas linguagens possuem um meio de se obter a ""identidade"" de um objeto, i.e. um número [inteiro] que é único para cada objeto, tal que objetos diferentes tenham identidades diferentes. Exemplos:</p>

<ul>
<li>Java (<a href=""http://docs.oracle.com/javase/6/docs/api/java/lang/System.html#identityHashCode%28java.lang.Object%29"" rel=""nofollow noreferrer""><code>System.identityHashCode</code></a>)</li>
</ul>

<blockquote>
  <p>Tanto quanto razoavelmente prático, o método hashCode definido pela classe Object retorna inteiros distintos para objetos distintos. (Isto é tipicamente implementado convertendo o endereço interno do objeto em um inteiro, mas essa técnica de implementação não é exigida pela linguagem de programação Java.)</p>
</blockquote>

<ul>
<li>Python (<a href=""http://docs.python.org/2/library/functions.html#id"" rel=""nofollow noreferrer""><code>id</code></a>)</li>
</ul>

<blockquote>
  <p>Retorna a ""identidade"" de um objeto. Isto é um inteiro (ou inteiro longo) que é garantido ser único e constante para esse objeto durante seu ciclo de vida. Dois objetos com tempo de vida não sobrepostos podem ter o mesmo valor para id().</p>
</blockquote>

<p>Existe alguma funcionalidade semelhante em JavaScript? De preferência padronizada, que funcionasse em todos os browsers e outros ambientes (Rhino, V8). Buscando por ""identity"" eu somente encontro referências para o operador (<code>===</code>)...</p>

<p>Sei que alguns ambientes não suportam esse conceito (.NET aparentemente <a href=""https://stackoverflow.com/a/750958/520779"">não o faz por razões de otimização</a>), mas em geral isso não é problema pois são linguagens mais completas, que possuem os conceitos de <strong>destrutor</strong>, <strong>finalizador</strong> e/ou <strong>referências fracas</strong>. Até onde eu saiba, JavaScript não suporta isso, de modo que uma maneira de se obter um valor numérico que unicamente representa um objeto seria muito útil (uma simples referência pro objeto não serve, pois ela o impediria de ser coletado como lixo).</p>
","<p>A especificação <a href=""http://www.ecma-international.org/ecma-262/5.1/"" rel=""nofollow noreferrer"">ECMA-262</a> não prevê essa funcionalidade na linguagem, e não tenho conhecimento de nenhum motor de JavaScript que implemente isso.</p>

<p>Se quiser implementar você mesmo, um ponto de partida é isto (baseado nesta <a href=""https://stackoverflow.com/questions/1997661/unique-object-identifier-in-javascript"">resposta em inglês</a>):</p>

<pre><code>(function(){
    var id = 0;
    Object.prototype.getIdentity = function() {
        if(!this.hasOwnProperty('__identity__')) {
            this.__identity__ = ++id;
        }
        return this.__identity__;
    };
}());
</code></pre>

<p>Note que <code>__identity__</code> é uma propriedade pública que todos os objetos que invocaram <code>getIdentity</code> uma vez passam a ter. Portanto nada impede que ela seja manipulada diretamente, o que potencialmente comprometeria os resultados.</p>

<p>Uma implementação com recursos do ECMAScript 5 (ou seja, incompatível com motores antigos como o do IE8) consegue impedir isso:</p>

<pre><code>(function(){
    var id = 0;
    Object.prototype.getIdentity = function() {
        if(!this.hasOwnProperty('__identity__')) {
            Object.defineProperty(this, '__identity__', { 
                enumerable: false,
                writable: false,
                value: ++id 
            });
        }
        return this.__identity__;
    };
}());
</code></pre>

<p>O atributo <code>writable: false</code> garante que o valor de <code>__identity__</code> não possa ser alterado manualmente. E <code>enumerable: false</code> omite a propriedade de enumerações <code>for..in</code>, ou serialização via <code>JSON.stringify</code>, conforme a sugestão do talles.</p>
","408"
"1855","1857","<p>Noto que os principais browsers ficam em modo tela cheia ao apertar a tecla F11, isso é uma funcionalidade do próprio browser ou é possível ativar isso através de algum código de Javascript?</p>

<p>Caso não dê para fazer via código, como abrir uma nova janela somente com a página. Sem botões do navegador, e com a barra de endereços bloqueada etc.</p>
","<p>Existe uma forma de <strong><em>simular</em></strong> o uso da <strong><em>tecla F11</em></strong>, mas não pode ser automatizado.</p>

<p>Como se trata de uma funcionalidade que só o utilizador pode controlar, o mesmo terá que clicar num botão (<em>por exemplo</em>), de forma a activar o modo de ecrã inteiro.</p>

<ul>
<li><h1><a href=""https://dl.dropboxusercontent.com/u/76169930/br.stackoverflow/demos/JavaScript/ecraInteiro_1.html"" rel=""nofollow noreferrer"">Exemplo Alternar</a></h1>

<p>Este exemplo permite fazer a alternância entre ecrã inteiro e janela normal do navegador através do clique no mesmo elemento.</p>

<p><strong>Botão de acção</strong></p>

<pre class=""lang-html prettyprint-override""><code>&lt;input type=""button"" value=""clique para alternar"" onclick=""toggleFullScreen()""&gt;
</code></pre>

<p><strong>Função</strong></p>

<pre class=""lang-js prettyprint-override""><code>function toggleFullScreen() {
  if ((document.fullScreenElement &amp;&amp; document.fullScreenElement !== null) ||    
   (!document.mozFullScreen &amp;&amp; !document.webkitIsFullScreen)) {
    if (document.documentElement.requestFullScreen) {  
      document.documentElement.requestFullScreen();  
    } else if (document.documentElement.mozRequestFullScreen) {  
      document.documentElement.mozRequestFullScreen();  
    } else if (document.documentElement.webkitRequestFullScreen) {  
      document.documentElement.webkitRequestFullScreen(Element.ALLOW_KEYBOARD_INPUT);  
    }  
  } else {  
    if (document.cancelFullScreen) {  
      document.cancelFullScreen();  
    } else if (document.mozCancelFullScreen) {  
      document.mozCancelFullScreen();  
    } else if (document.webkitCancelFullScreen) {  
      document.webkitCancelFullScreen();  
    }  
  }  
} 
</code></pre></li>
<li><h1><a href=""https://dl.dropboxusercontent.com/u/76169930/br.stackoverflow/demos/JavaScript/ecraInteiro_2.html"" rel=""nofollow noreferrer"">Exemplo Mudar para Ecrã Inteiro</a></h1>

<p>Este exemplo permite activar o modo de ecrã inteiro sem fazer alternância, ou seja, o utilizador muda para ecrã inteiro mas para voltar ao ecrã normal terá que usar a tecla <em>F11</em>:</p>

<p><strong>Botão de acção</strong></p>

<pre class=""lang-html prettyprint-override""><code>&lt;input type=""button"" value=""clique para ativar tela cheia"" onclick=""requestFullScreen()""&gt;
</code></pre>

<p><strong>Função</strong></p>

<pre class=""lang-js prettyprint-override""><code>function requestFullScreen() {

  var el = document.body;

  // Supports most browsers and their versions.
  var requestMethod = el.requestFullScreen || el.webkitRequestFullScreen 
  || el.mozRequestFullScreen || el.msRequestFullScreen;

  if (requestMethod) {

    // Native full screen.
    requestMethod.call(el);

  } else if (typeof window.ActiveXObject !== ""undefined"") {

    // Older IE.
    var wscript = new ActiveXObject(""WScript.Shell"");

    if (wscript !== null) {
      wscript.SendKeys(""{F11}"");
    }
  }
}
</code></pre></li>
</ul>

<hr>

<h2>Fontes e informação útil que encontrei sobre este assunto:</h2>

<ul>
<li><p><a href=""https://developer.mozilla.org/en/DOM/Using_full-screen_mode"" rel=""nofollow noreferrer"">Mozilla Developer Network</a> <sup>(Inglês)</sup></p></li>
<li><p><a href=""https://stackoverflow.com/q/1125084/352449"">Como fazer em JavaScript janelas em tela cheia (ocupar o ecrã inteiro)</a> <sup>(Inglês)</sup></p></li>
<li><p><a href=""https://stackoverflow.com/questions/7495373/how-to-make-browser-full-screen-using-f11-key-event-through-javascript"">Como fazer com que o navegador fique em tela cheia usando o evento da tecla F11 através de JavaScript</a> <sup>(Inglês)</sup></p></li>
<li><p><a href=""https://stackoverflow.com/questions/7836204/chrome-fullscreen-api"">Chrome Fullscreen API</a> <sup>(Inglês)</sup></p></li>
<li><p><a href=""https://github.com/ruidlopes/jquery-fullscreen"" rel=""nofollow noreferrer"">jQuery fullscreen event plugin, version 0.2.0</a> <sup>(Inglês)</sup></p></li>
<li><p><a href=""https://github.com/kayahr/jquery-fullscreen-plugin/"" rel=""nofollow noreferrer"">jquery-fullscreen-plugin</a> <sup>(Inglês)</sup></p></li>
</ul>

<hr>

<p><sup>Créditos da resposta para o utilizador @Zuul <a href=""https://stackoverflow.com/a/10627148/352449"">nesta resposta</a> no StackOverflow original.</sup></p>
","1857"
"2427","2430","<p>O objeto <code>window</code> em browsers possui uma propriedade <code>window</code> que é <a href=""http://pt.wikipedia.org/wiki/Autorrefer%C3%AAncia"">auto-referente</a>:</p>

<pre><code>window.window === window; // true
</code></pre>

<p>E ainda há outras propriedades equivalentes nos browsers:</p>

<pre><code>self === window; // true
top === window;  // true
self === top;    // true
self.top.window === window.top.self; // true
</code></pre>

<p>No Node.js, o objeto global também é auto-referente:</p>

<pre><code>global.global === global; // true
</code></pre>

<p>Qual é a utilidade dessas propriedades, e qual é o motivo de sua existência?</p>
","<p>A necessidade da propriedade <code>window.window</code> advém da forma como JavaScript referencia suas variáveis. Toda vez que uma expressão é criada envolvendo um <strong>identificador</strong> (i.e. um nome) a <em>engine</em> do JS procura em um objeto especial - chamado <strong><em>Variable Object</em></strong> - pela chave correspondente àquele identificador. (esse objeto recebe esse nome provavelmente pela sua função: um objeto que armazena variáveis)</p>

<pre class=""lang-js prettyprint-override""><code>console.log(x + 1); // Procura por &lt;&lt;Variable Object&gt;&gt;['x'] 
                    // e depois por &lt;&lt;Variable Object&gt;&gt;['console']
</code></pre>

<p>Quando o código a ser executado está no <em>top-level</em>, o Variable Object é equivalente ao <strong><em>Global Object</em></strong> (que, no <em>browser</em>, seria o <code>window</code>, mas em outros ambientes pode ser diferente). Ou seja:</p>

<pre class=""lang-js prettyprint-override""><code>console.log(x + 1); // Procura por window['x'] 
                    // e depois por window['console']
</code></pre>

<p>Já quando esse código está dentro de uma função, o Variable Object é chamado <strong><em>Activation Object</em></strong>, e é diferente para cada invocação da função:</p>

<pre class=""lang-js prettyprint-override""><code>function foo() {
    console.log(x + 1);
}

foo(); // Procura por &lt;&lt;Activation Object 1&gt;&gt;['x'] 
       // e depois por &lt;&lt;Activation Object 1&gt;&gt;['console']
foo(); // Procura por &lt;&lt;Activation Object 2&gt;&gt;['x'] 
       // e depois por &lt;&lt;Activation Object 2&gt;&gt;['console']
</code></pre>

<p>O programador não possui acesso direto ao Activation Object, apenas indireto através da tentativa de acessar uma propriedade por nome. Um Activation Object define um <strong>contexto de execução</strong>, ou seja, um conjunto de variáveis que estão acessíveis para serem utilizadas por aquele trecho de código. Um contexto de execução pode ""herdar"" de outro contexto, que pode herdar de outro, e assim por diante (para mais detalhes, ver <a href=""https://pt.stackoverflow.com/questions/1859/como-funcionam-closures-em-javascript/1862#1862"">essa minha outra resposta</a> na pergunta <a href=""https://pt.stackoverflow.com/questions/1859/como-funcionam-closures-em-javascript"">""Como funcionam closures em javascript?""</a>). Exemplo:</p>

<pre class=""lang-js prettyprint-override""><code>function foo() {
    var x;
    function bar() {
        console.log(x + 1);
    }
    bar();
}
foo(); // Procura por &lt;&lt;Activation Object ""bar"" 1&gt;&gt;['x']
       //         ... &lt;&lt;Activation Object ""foo' 1&gt;&gt;['x'] (encontrou)
       // e depois por &lt;&lt;Activation Object ""bar"" 1&gt;&gt;['console']
       //          ... &lt;&lt;Activation Object ""foo"" 1&gt;&gt;['console']
       //          ... window['console'] (encontrou)
</code></pre>

<p>Pois bem, de posse dessa explicação, pergunto: o que acontece quando escrevemos simplesmente:</p>

<pre class=""lang-js prettyprint-override""><code>window

// ou

function foo() {
    window
}
foo();
</code></pre>

<p>? A engine JavaScript vai fazer o mesmo que sempre faz quando encontra um identificador: procurar no Variable Object:</p>

<pre><code>window   // Procura por window['window']

function foo() {
    window
}
foo();   // Procura por &lt;&lt;Activation Object ""foo"" 1&gt;&gt;['window']
         //         ... window['window'] (encontrou)
</code></pre>

<p>Ou seja: para que o programador consiga acessar o Global Object (<code>window</code>), ele precisa ter uma referência para si próprio (<code>window['window']</code> ou simplesmente <code>window.window</code>). O mesmo vale para o node.js (<code>global.global</code>) e para qualquer outra implementação de JavaScript que exponha o objeto global aos programadores (se isso é obrigatório ou não de acordo com a especificação ECMAScript, não verifiquei).</p>

<p>A variável <code>self</code> (global) também se refere ao objeto <code>window</code>, conforme <a href=""http://www.w3.org/TR/Window/#window-basic-attributes"" rel=""nofollow noreferrer"">a especificação do w3.org</a>. E quanto a <code>top</code>, ela pode ou não se referir a <code>window</code>, como explicado por @hernandes.</p>

<blockquote>
  <p><strong>Fonte:</strong> a maior parte dessa resposta se baseou no artigo (em inglês) <a href=""http://perfectionkills.com/understanding-delete/"" rel=""nofollow noreferrer"">""Understanding delete""</a>.</p>
</blockquote>
","2430"
"2513","2514","<p>Sempre fico em dúvida nos projetos se coloco <code>var</code> antes de dar um valor a uma variavel ou não pois ambos funcionam (eu acho). Alguém sabe explicar o motivo de usar ou não? Qual a convenção ou boa prática a ser seguida? </p>

<p>É uma pergunta boba eu acho, mas como nunca estudei javascript gostaria de saber.</p>
","<p>Sempre é recomendado usar a palavra chave <code>var</code> pois torna a variável local, caso contrario ela vira global. Isso evita conflitos, variável corrompida, torna o código menos vulnerável a acesso via barra de endereço.</p>

<p><code>javascript:count = 0</code>, um código semelhante a essa zerava a contagem do rapishare na hora do fazer o download, porém como tinha uma validação side server ele não deixa baixar o arquivo em um periodo curto</p>

<p>exemplo de variavel exposta: (testei isso no chrome, o firefox acabou mudando bastante a politica de javascript se não me engano apartir da versão 25 então o exemplo não vai funcionar)</p>

<p>Esse código foi retirado de um site real.</p>

<pre class=""lang-html prettyprint-override""><code>&lt;html&gt;
&lt;head&gt;
&lt;script language=""JavaScript""&gt;
    var xtx=20; // linha original
    function IniciaRegressivo() {
        if (xtx &gt; 0) {
            document.getElementById('botao').innerHTML =
           '&lt;div class=""protetor-botao""&gt;&lt;a&gt;Aguarde '+ xtx +' segundos&lt;/a&gt;&lt;/div&gt;';
            xtx = xtx - 1;
            setTimeout(""IniciaRegressivo();"", 1000);
        } else {
            document.getElementById('botao').innerHTML = 
            '&lt;div class=""protetor-botao""&gt;
            &lt;a href=""javascript:download();""&gt;Fazer Download&lt;/a&gt;&lt;/div&gt;';
        }
    }
&lt;/script&gt;
&lt;/head&gt;

&lt;body onload=""IniciaRegressivo();""&gt;

&lt;div name=""botao"" id=""botao""&gt;&lt;/div&gt;
&lt;/html&gt;
</code></pre>

<p>Na barra de endereço do navegador digite esse 'código'(digite pelo menos <code>javascript:</code> e depois cole o resto)</p>

<pre><code>javascript:xtx=0;IniciaRegressivo();
</code></pre>

<p>veja o resultado.</p>

<p>Agora modifique a linha:</p>

<pre><code>&lt;script language=""JavaScript""&gt;
    var xtx=20; // linha original
</code></pre>

<p>para:</p>

<pre><code>if(typeof(xtx) == ""undefined""){
   xtx = 80; //variavel local da função IniciaRegressivo() certo?
}
</code></pre>

<p>de um ctrl+f5 e teste novamente.</p>
","2514"
"2814","3987","<p>Estou a procura de alguma forma de criar plugins no <a href=""http://sizzlejs.com"" rel=""nofollow"">Sizzle JS</a>. Procurei muito e não achei um bom tutorial e nem alguém que me explique.</p>
","<p>A resposta, sem jquery</p>

<p>exemplo de extensão de filtros:</p>

<pre><code>Sizzle.selectors.filters.vazio = function( elem ) {
    return elem.childElementCount === 0;
};  
</code></pre>

<p><a href=""http://jsfiddle.net/letanure/gYk4s/2/"" rel=""nofollow"">um exemplo funcional no jsfiddle</a></p>

<p>segundo a documentação, pode-se extender</p>

<ul>
<li>Seletores: <pre>Sizzle.selectors.find.NAME = function( match, context, isXML ) {}</pre></li>
<li>Filtros:<pre>Sizzle.selectors.preFilter.NAME = function( match ) {}</pre> ou <pre>Sizzle.selectors.filter.NAME: function( element, match<a href=""http://jsfiddle.net/letanure/gYk4s/2/"" rel=""nofollow"">1</a>[, match<a href=""https://github.com/jquery/sizzle/wiki/Sizzle-Documentation"" rel=""nofollow"">2</a>, match[3], ...]</pre></li>
<li>Atributos:<pre>Sizzle.selectors.attrHandle.LOWERCASE_NAME = function( elem, casePreservedName, isXML ) {}</pre></li>
<li>Pseudo Selectors:<pre>Sizzle.selectors.pseudos.NAME = function( elem ) {}</pre></li>
</ul>

<p><a href=""https://github.com/jquery/sizzle/wiki/Sizzle-Documentation"" rel=""nofollow"">Documentação completa</a></p>
","3987"
"3175","3376","<p>Tenho um sistema de controle de equipamento. Neste sistema,enquanto o usuário preenche o formulário, ele tem a opção de adicionar um outro campo para cadastrar mais um equipamento que ficará associado a um cliente. Para fazer essa funcionalidade eu usou um código em javascript</p>

<pre><code>    &lt;script type=""text/javascript""&gt;
        $(document).ready(function () {
            var $link = $('#add_answer');
            var $model = $link.prev('.equipamento');
            $link.click(function () {
                var $clone = $model.clone(false);
                $(this).before($clone);
                $clone.wrap('&lt;div class=""wrapper""&gt;&lt;/div&gt;')
                        .after('&lt;a href=""javascript:void(0)"" class=""remove""&gt;&lt;/a&gt;')
                        .addClass('added')
                        .parent()
                        .hide()
                        .fadeIn();
            });

            $('a.remove').live('click', function () {
                $(this).parent().fadeOut('normal', function () {
                    $(this).remove();
                });
            });
        });
    &lt;/script&gt;
</code></pre>

<p>Como eu faço para acessar os campos do formulário usando JQuery.</p>

<p>Podem me ajudar? Alguma sugestão? Estou fazendo da forma correta? Existe uma forma melhor de fazer isso?</p>

<p>nota:Não fui eu que programei esse javascript</p>
","<p>Ve se eu entendi sua pergunta, você quer <strong>acessar os clones</strong> no javascript.</p>

<p>Exitem algumas possibilidades vou abordar algumas.</p>

<p>Usando <a href=""http://api.jquery.com/each/"" rel=""nofollow"">each</a></p>

<pre><code>$("".equipamento"").each(function() {
     var obj = $(this); //aqui você irá ter acesso aos ""clones""
     console.log(obj);
});
</code></pre>

<p>Para saber quantos objetos existem vc pode usar <a href=""http://api.jquery.com/length/"" rel=""nofollow"">length</a></p>

<pre><code>$("".equipamento"").length //retorna a quantidade de ""clones""
</code></pre>

<p>Usando os <a href=""http://api.jquery.com/category/traversing/filtering/"" rel=""nofollow"">filtering</a> do jquery (sessão <a href=""http://api.jquery.com/category/traversing/"" rel=""nofollow"">traversing</a>)</p>

<p>Pode acessar cada objeto separadamente com <a href=""http://api.jquery.com/eq/"" rel=""nofollow"">eq</a> <a href=""http://api.jquery.com/first/"" rel=""nofollow"">first</a> <a href=""http://api.jquery.com/last/"" rel=""nofollow"">last</a></p>

<pre><code>$("".equipamento"").first() //acesso ao primeiro objeto
$("".equipamento"").eq(0) //retorna o mesmo objeto de cima

$("".equipamento"").eq(1) //acesso ao segundo objeto

$("".equipamento"").last() //acesso ao último objeto
$("".equipamento"").eq($("".equipamento"").length-1) //mesma coisa de cima
</code></pre>

<p>Agora se a página já cria N objetos quando é renderizada. Você pode acessar os objetos usando a classe <code>"".added""</code> no lugar de <code>"".equipamento""</code> nos códigos acima (mudando o <a href=""http://api.jquery.com/category/selectors/"" rel=""nofollow"">selector</a>),</p>
","3376"
"3625","3645","<p>Estou com uma dificuldade (que provavelmente é bem boba) em armazenar um valor em uma propriedade de um objeto em Javascript. Já fiz algo parecido recentemente utilizando <code>this.propriedade = valor</code> dentro da função ""construtora"" e não tive problemas em reutilizar o valor em uma função definida como `Objeto.prototype.nome_funcão"".</p>

<p>Porém, nesse exemplo (<a href=""http://jsfiddle.net/luigivieira/K6u2b/3/"">disponível no JSFiddle</a>) uma propriedade (<code>this.m_oClickCallback</code>) não é visível na função de tratamento do clique do mouse (<code>MyButton.prototype.handleClick</code>), gerando a seguinte exceção quando o botão é clicado:</p>

<blockquote>
  <p>Uncaught TypeError: Object [object global] has no method
  'm_oClickCallback'</p>
</blockquote>

<p>Eu imagino que provavelmente o erro se deve a algo bem bobo, mas não estou conseguindo enxergar o que é.</p>

<p>Aqui está o html do exemplo que eu preparei:</p>

<pre class=""lang-html prettyprint-override""><code>&lt;body onload=""init();""&gt;
    &lt;canvas id=""myCanvas"" width=""800"" height=""600""&gt;
        O seu navegador não suporta HTML5. (&lt;i&gt;Your browser does not support HTML5.&lt;/i&gt;)
    &lt;/canvas&gt;
&lt;/body&gt;
</code></pre>

<p>E o código Javascript:</p>

<pre class=""lang-js prettyprint-override""><code>(function() {

    // Objeto de botão customizado
    var MyButton = function(sLabel, sColor, oClickCallback) {
        // Chama o initialize do objeto protótipo (createjs.Container)
        this.initialize();

        // Armazena a referência para o callback do evento de click
        this.m_oClickCallback = oClickCallback;

        // Cria o conteúdo do botão
        var oText = new createjs.Text(sLabel, ""40px Arial"", ""#ffffff"");
        oText.textBaseline = ""top"";
        oText.textAlign = ""center"";

        var iWidth = oText.getMeasuredWidth() + 30;
        var iHeight = oText.getMeasuredHeight() + 20;

        var oBackground = new createjs.Shape();
        oBackground.name = ""Background"";
        oBackground.graphics.beginFill(sColor).drawRoundRect(0, 0, iWidth, iHeight, 10);

        oText.x = iWidth / 2;
        oText.y = 10;

        this.addChild(oBackground, oText);

        // Captura o evento de click        
        this.addEventListener(""click"", this.handleClick);
    }  

    // Define o protótipo
    MyButton.prototype = new createjs.Container();

    // Função de tratamento do click no botão. Invoca o callback armazenado.
    MyButton.prototype.handleClick = function(oEvent) {
        this.m_oClickCallback(oEvent.target);
    } 

    // Atribui o objeto ao escopo global de ""window""
    window.MyButton = MyButton;
}());

// Função de inicialização. Cria o botão no onload do corpo da página.
function init() {
    g_oStage = new createjs.Stage(""myCanvas"");
    var oButton = new MyButton(""Olá mundo!"", ""red"", function() { alert(""Funciona!""); });
    g_oStage.addChild(oButton);
    g_oStage.update();
}
</code></pre>

<p>EDIT: a ideia é armazenar a propriedade de forma que ela seja diferenciada entre cada nova instância do objeto (como se fosse mesmo um atributo privado ou público de uma classe em outras linguagens). Soluções em que a propriedade é compartilhada (como se fosse estática) não são o interesse da pergunta.</p>

<p>EDIT2: </p>

<p>Descobri que no createjs.Container há uma propriedade chamada <code>this.mouseChildren</code> que quando desabilitada faz com que o objeto <code>target</code> enviado no <em>payload</em> dos eventos de mouse seja diretamente o objeto <code>MyButton</code> ao invés de seus componentes (o texto ou o <em>shape</em> colorido de fundo). Usando essa propriedade e o objeto <code>target</code> eu consigo resolver o problema da seguinte forma (veja <a href=""http://jsfiddle.net/luigivieira/K6u2b/8/"">esse novo JSFiddle de exemplo</a>, agora com duas instâncias de botão):</p>

<pre class=""lang-js prettyprint-override""><code>//. . .

// Faz o target dos eventos ser diretamente o objeto MyButton, ao invés do texto
// ou do background nele inclusos
this.mouseChildren = false;

//. . .

// Função de tratamento do click no botão. Invoca o callback armazenado.
MyButton.prototype.handleClick = function(oEvent) {
    oEvent.target.clickCallback(oEvent.target);
}
</code></pre>

<p>Logando o <code>this</code> no console, eu percebi que ele se é de fato o objeto <code>window</code>. Por isso não funcionava o código. Não adicionei essa conclusão como uma resposta porque ainda me resta a dúvida de por que a função de tratamento do clique do mouse não é invocada no escopo do botão e sim da janela do navegador. Alguém sabe?</p>
","<p>Nem sempre <code>this</code> irá se referir ao objeto que você está criando: quando você usa <code>this.addEventListener(""click"", this.handleClick);</code> o valor de <code>this</code> deixa de ser o objeto e passa ser o escopo global, geralmente <code>window</code>.</p>

<p>Esse problema pode ser solucionado de várias maneiras. Não vou entrar muito em detalhes pois <a href=""http://coding.smashingmagazine.com/2014/01/23/understanding-javascript-function-prototype-bind/"">esse tutorial</a> (em inglês) aborta detalhadamente esse assunto, mas baseando-se nele você resolveria seu problema simplesmente fazendo isso:</p>

<pre class=""lang-js prettyprint-override""><code>/* remova */ this.addEventListener(""click"", this.handleClick);
/* insira */ this.addEventListener(""click"", this.handleClick.bind(this));
</code></pre>
","3645"
"3755","3757","<p><strong>Contexto</strong><br>
Em PHP, há uma diferença entre o uso de aspas simples e duplas. Neste caso, aspas simples são para ""<code>strings</code> comuns"", e aspas duplas, utilizadas quando se quer processar a <code>string</code> (concatenar, por exemplo).</p>

<p><strong>Pergunta</strong><br>
Existe alguma diferença entre o uso de <kbd>""</kbd> e <kbd>'</kbd> para <code>strings</code> em Javascript? Há alguma mudança no desempenho, ou conflitos com <code>use strict</code>, por exemplo? </p>

<p><strong>Exemplo</strong></p>

<pre class=""lang-js prettyprint-override""><code>alert('foo'); // Aspas simples
alert(""bar""); // Aspas duplas
</code></pre>
","<p>Não há diferenças do ponto de vista de programação, mesmo utilizando Strict Mode (<code>""use strict;""</code>)</p>

<p>Como apontado pelo Carlos André, uma abordagem é você poder colocar aspas simples dentro da string ou o oposto:</p>

<pre><code>alert('Ola ""Mundo""');
alert(""Ola 'Mundo'"");
</code></pre>

<p>No entanto, se você estiver utilizando JSON, as strings em JSON utilizam aspas duplas. Obviamente, várias bibliotecas também suportam aspas simples, mas utilizar aspas simples para strings não está em conformidade com os <a href=""http://json.org/json-pt.html"">padrões de JSON</a>.</p>
","3757"
"3945","3956","<p>Tenho uma lista com diversos itens, e logo acima dessa lista terá dois botões, ""próximo"" e ""anterior"". Queria que quando o usuário clicasse em próximo, por exemplo, adicionasse uma classe diferente ao próximo item da lista e removesse a classe do item anterior.</p>

<p>Sei que dá para fazer usando o <code>next().addClass</code> do jQuery porém não consegui.</p>
","<p>Você pode usar assim:</p>

<pre><code>$('button#anterior').click(function () {
    $('.minhaClasse').removeClass('minhaClasse').prev().addClass('minhaClasse');
    if (!$('.minhaClasse').length) {
        $('li:last').addClass('minhaClasse')
    }
});
$('button#proximo').click(function () {
    $('.minhaClasse').removeClass('minhaClasse').next().addClass('minhaClasse');
    if (!$('.minhaClasse').length) {
        $('li:first').addClass('minhaClasse')
    }
});
</code></pre>

<h2><a href=""http://jsfiddle.net/HbpL4/"">Exemplo</a></h2>
","3956"
"4297","4299","<p>Tenho uma página em PHP que confirma ou não o envio do e-mail do usuário pela página de contato. Quero que depois de 10 segundos (tempo suficiente para que o aviso de confirmação seja lido), o <code>window.location</code> seja a página inicial do site. Estou tentando da seguinte forma:</p>

<pre><code>window.onload = function(){
  setTimeout(window.location = ""http://homedosite.com.br"", 10000);
}
</code></pre>

<p>O problema é que quando aparece a página de confirmação, simplesmente o <code>window.location</code> é setado sem aguardar os 10 segundos. O que pode estar acontecendo? </p>
","<p>O problema é que como você colocou diretamente <code>window.location = ...</code> dentro da chamada de <code>setTimeout</code>, o Javascript irá tentar avaliar o conteúdo dentro dos parênteses imediatamente, e por isso a página já é redirecionada.</p>

<p>Experimente trocar para:</p>

<pre class=""lang-js prettyprint-override""><code>window.onload = function(){
    setTimeout(function () { window.location = ""http://homedosite.com.br""; }, 10000);
}
</code></pre>
","4299"
